,initial run,soil run,Diff,ratio,cat
401,217.636,232.896,-15.259999999999991,0.9344771915361363,2
402,207.895,223.812,-15.917000000000002,0.9288822761960931,2
403,92.388,92.388,0.0,1.0,0
404,100.386,99.826,0.5600000000000023,1.0056097609841124,1
405,396.323,429.846,-33.523000000000025,0.922011604155907,2
406,67.83800000000001,72.681,-4.842999999999989,0.9333663543429509,0
407,332.891,359.881,-26.989999999999952,0.9250029870985133,2
408,616.2,616.2,0.0,1.0,2
409,784.069,854.943,-70.87400000000002,0.9171009061422808,2
410,109.697,109.697,0.0,1.0,1
411,258.281,274.28,-15.998999999999967,0.94166909727286,2
412,156.02,156.02,0.0,1.0,1
413,826.013,902.175,-76.16199999999992,0.9155795715908777,2
414,121.12,126.677,-5.557000000000002,0.9561325260307711,1
415,449.941,489.547,-39.60600000000005,0.9190966342353236,2
416,322.476,322.476,0.0,1.0,2
417,283.449,306.425,-22.976,0.9250191727176308,2
418,217.107,217.107,0.0,1.0,2
419,140.637,140.637,0.0,1.0,1
420,74.518,80.525,-6.007000000000005,0.9254020490530891,0
421,996.167,1094.22,-98.053,0.9103900495330007,2
422,243.11900000000003,264.448,-21.32899999999995,0.9193452020813168,2
423,167.665,183.814,-16.149,0.912144885590869,1
424,211.216,171.122,40.093999999999994,1.2343006743726697,2
425,131.364,139.03,-7.665999999999997,0.9448608214054521,1
426,145.67700000000005,145.67700000000005,0.0,1.0,1
427,1153.807,1261.018,-107.21100000000001,0.9149805950430525,3
428,229.599,202.702,26.89699999999999,1.1326923266667324,2
429,154.344,154.344,0.0,1.0,1
430,111.065,92.784,18.28099999999999,1.1970275047421968,1
431,348.1090000000001,277.536,70.57300000000009,1.2542841289058,2
432,226.237,241.074,-14.837000000000018,0.9384545824103802,2
433,372.888,372.888,0.0,1.0,2
434,296.345,296.345,0.0,1.0,2
435,171.44799999999995,186.467,-15.019000000000062,0.9194549169558149,1
436,273.223,276.802,-3.5790000000000077,0.9870701801287562,2
437,313.619,254.999,58.62000000000003,1.2298832544441352,2
438,104.591,113.224,-8.63300000000001,0.9237529145764148,1
439,95.741,82.273,13.468000000000004,1.1636989048655089,0
440,108.251,114.262,-6.010999999999996,0.9473928340130577,1
441,155.40200000000004,155.40200000000004,0.0,1.0,1
442,202.456,215.803,-13.347000000000008,0.93815192559881,2
443,110.478,115.919,-5.4410000000000025,0.9530620519500685,1
444,287.838,232.836,55.00200000000001,1.2362263567489564,2
445,92.602,99.234,-6.631999999999991,0.9331680673962554,0
446,206.583,206.583,0.0,1.0,2
447,151.332,163.43,-12.098000000000013,0.9259744233004955,1
448,133.629,133.629,0.0,1.0,1
449,210.996,210.996,0.0,1.0,2
450,214.474,214.474,0.0,1.0,2
451,210.159,198.739,11.419999999999987,1.0574622998002405,2
452,142.86,142.86,0.0,1.0,1
453,178.899,178.899,0.0,1.0,1
454,207.576,223.904,-16.328000000000003,0.9270758896670002,2
455,224.174,224.174,0.0,1.0,2
456,164.09400000000005,133.37,30.724000000000046,1.2303666491714782,1
457,132.691,132.691,0.0,1.0,1
458,366.654,358.34,8.314000000000021,1.0232014288106268,2
459,312.899,250.202,62.697,1.2505855268942694,2
460,329.874,329.874,0.0,1.0,2
461,125.059,125.059,0.0,1.0,1
462,123.322,130.392,-7.069999999999993,0.9457788821400086,1
463,68.92,68.92,0.0,1.0,0
464,148.094,159.106,-11.012,0.930788279511772,1
465,282.873,303.137,-20.26400000000001,0.9331523370621204,2
466,144.15200000000004,144.15200000000004,0.0,1.0,1
467,144.10399999999996,116.368,27.73599999999996,1.2383473119758006,1
468,134.284,135.791,-1.507000000000005,0.9889020627287523,1
469,148.755,148.755,0.0,1.0,1
470,489.861,391.205,98.656,1.2521849158369653,2
471,210.046,214.867,-4.820999999999998,0.9775628644696487,2
472,105.482,86.1,19.382000000000005,1.225110336817654,1
473,184.133,184.133,0.0,1.0,1
474,161.024,172.987,-11.962999999999994,0.9308445143276662,1
475,385.656,304.068,81.58800000000002,1.2683215596511308,2
476,220.454,182.439,38.015000000000015,1.2083710171619009,2
477,251.189,251.617,-0.42799999999999727,0.9982990020547101,2
478,138.7,138.7,0.0,1.0,1
479,202.326,217.988,-15.662000000000006,0.9281520083674331,2
480,233.019,253.066,-20.046999999999997,0.9207835110208404,2
481,457.926,365.047,92.87899999999996,1.2544302514470738,2
482,108.53,89.781,18.748999999999995,1.2088303761374901,1
483,190.042,190.042,0.0,1.0,1
484,204.248,204.248,0.0,1.0,2
485,252.977,271.106,-18.12899999999999,0.9331294770311244,2
486,180.353,180.353,0.0,1.0,1
487,157.862,157.862,0.0,1.0,1
488,223.877,223.877,0.0,1.0,2
489,256.947,204.371,52.57599999999999,1.257257634400184,2
490,233.654,233.654,0.0,1.0,2
491,165.773,165.773,0.0,1.0,1
492,359.898,359.898,0.0,1.0,2
493,205.608,222.283,-16.674999999999983,0.924983017144811,2
494,313.583,338.2480000000001,-24.665000000000077,0.9270801305550954,2
495,130.613,106.567,24.046000000000006,1.2256420843225388,1
496,180.807,190.69,-9.88300000000001,0.9481724264513084,1
497,244.345,244.345,0.0,1.0,2
498,272.353,273.226,-0.8729999999999905,0.9968048428773251,2
499,298.253,237.514,60.738999999999976,1.255728083397189,2
500,140.207,140.207,0.0,1.0,1
501,129.529,129.529,0.0,1.0,1
502,193.304,207.498,-14.193999999999988,0.9315945213929774,1
503,127.412,133.785,-6.3729999999999905,0.9523638673991853,1
504,148.204,148.204,0.0,1.0,1
505,148.625,148.625,0.0,1.0,1
506,442.115,442.115,0.0,1.0,2
507,228.743,228.743,0.0,1.0,2
508,200.96400000000003,207.766,-6.801999999999964,0.9672612458246298,2
509,118.897,97.862,21.03500000000001,1.2149455355500605,1
510,315.495,315.495,0.0,1.0,2
511,761.722,761.722,0.0,1.0,2
512,159.346,171.755,-12.408999999999992,0.927751739396233,1
513,275.153,275.153,0.0,1.0,2
514,250.897,195.981,54.916,1.2802108367647884,2
515,362.047,362.047,0.0,1.0,2
516,161.689,161.689,0.0,1.0,1
517,175.957,143.15,32.80699999999999,1.2291791826755152,1
518,195.163,153.539,41.624000000000024,1.2710972456509422,1
519,150.645,150.645,0.0,1.0,1
520,272.107,214.985,57.122000000000014,1.2657022582970905,2
521,228.624,240.916,-12.292000000000002,0.9489780670441149,2
522,154.717,125.079,29.63800000000002,1.2369542449172124,1
523,275.694,216.492,59.20200000000003,1.2734604511945016,2
524,130.421,130.421,0.0,1.0,1
525,106.65,83.208,23.442000000000007,1.281727718488607,1
526,194.13,156.875,37.254999999999995,1.2374820717131474,1
527,431.52,431.52,0.0,1.0,2
528,177.71599999999995,177.71599999999995,0.0,1.0,1
529,126.472,126.472,0.0,1.0,1
530,386.23800000000006,386.23800000000006,0.0,1.0,2
531,228.904,228.904,0.0,1.0,2
532,177.954,177.954,0.0,1.0,1
533,109.355,86.387,22.968000000000004,1.265873337423455,1
534,273.618,273.618,0.0,1.0,2
535,112.382,88.796,23.586,1.2656200729762601,1
536,339.284,339.284,0.0,1.0,2
537,347.658,347.658,0.0,1.0,2
538,688.2,688.2,0.0,1.0,2
539,419.422,419.422,0.0,1.0,2
540,609.216,609.216,0.0,1.0,2
541,122.162,106.81,15.352000000000004,1.143731860312705,1
542,206.448,206.448,0.0,1.0,2
543,864.0939999999998,864.0939999999998,0.0,1.0,2
544,304.756,304.756,0.0,1.0,2
545,363.525,363.525,0.0,1.0,2
546,791.962,791.962,0.0,1.0,2
547,120.395,96.94,23.455,1.2419537858469156,1
548,857.415,857.415,0.0,1.0,2
549,153.16899999999995,119.697,33.47199999999995,1.279639422876095,1
550,1204.021,1204.021,0.0,1.0,3
